sample	well	conc	GEF_conc	date	k_est	span1	f_plateau	span2	cutoff_time	back_signal	fit	linear_fit_fraction	intercept	deadtime	data_file
PE11_T34G	A6	6	5	20180904	0.006	5600	9500	1800		exp	exp	0.15		0	data/20180904_GEF_FRET_assay5.txt
PE11_T34G	A7	7	5	20180904	0.006	6500	11000	2100		exp	exp	0.15		0	data/20180904_GEF_FRET_assay5.txt
PE11_T34G	E7	7.5	5	20190111	0.0036	1273	1281	886		exp	exp	0.1	3440	0	data/20190111_GEF_FRET_assay.txt
PE11_T34G	A8	8	5	20180904	0.004	6900	13000	2400		exp	exp	0.15		0	data/20180904_GEF_FRET_assay5.txt
PE11_T34G	E8	8	5	20190111	0.0033	1394	1451	934		exp	exp	0.1	3780	0	data/20190111_GEF_FRET_assay.txt
PE11_T34G	A6	9	5	20180904	0.005	6200	9000	2700		exp	exp	0.15		0	data/20180904_GEF_FRET_assay6.txt
PE11_T34G	E9	9	5	20190111	0.003	1579	1691	1068		exp	exp	0.1	4339	0	data/20190111_GEF_FRET_assay.txt
PE11_T34G	A7	10	5	20180904	0.004	7500	13000	3000		exp	exp	0.15		0	data/20180904_GEF_FRET_assay6.txt
PE11_T34G	E10	10	5	20190111	0.0027	1693	1876	1167		exp	exp	0.1	4737	0	data/20190111_GEF_FRET_assay.txt
PE11_T34G	E11	11	5	20190111	0.0024	1874	2159	1256		exp	exp	0.1	5290	0	data/20190111_GEF_FRET_assay.txt
PE11_T34G	A8	12	5	20180904	0.004	7000	14000	3600		exp	exp	0.15		0	data/20180904_GEF_FRET_assay6.txt
PE11_T34G	E12	12	5	20190111	0.0023	1954	2193	1519		exp	exp	0.1	5667	0	data/20190111_GEF_FRET_assay.txt
PE12_H141R	E9	0.25	5	20180904	0.08	170	350	75		exp	exp	0.15		0	data/20180904_GEF_FRET_assay2.txt
PE12_H141R	E9	0.5	5	20180904	0.008	250	400	150		exp	exp	0.15		0	data/20180904_GEF_FRET_assay.txt
PE12_H141R	E10	0.75	5	20180904	0.01	580	1150	225		exp	exp	0.15		0	data/20180904_GEF_FRET_assay2.txt
PE12_H141R	E10	1	5	20180904	0.006	700	820	300		exp	exp	0.15		0	data/20180904_GEF_FRET_assay.txt
PE12_H141R	E11	1.25	5	20180904	0.01	1000	2000	375		exp	lin	0.15	3195	0	data/20180904_GEF_FRET_assay2.txt
PE12_H141R	E11	1.5	5	20180904	0.05	1000	1650	450		exp	exp	0.15		0	data/20180904_GEF_FRET_assay.txt
PE12_H141R	E12	1.75	5	20180904	0.006	1400	2500	525		exp	lin	0.1	4450	0	data/20180904_GEF_FRET_assay2.txt
